ingredient_name,ingredient_subtitle,category,subcategory,storage_condition,shelf_life_min_days,shelf_life_max_days,shelf_life_days,recommended_temp_c,data_source,confidence,notes
Gotu kola (pennywort / Centella asiatica),ready-to-serve (RTS) herbal drink,Beverages,Fruit/Herbal Drinks,Refrigerated,30,30,30.0,,"Ranasinghe et al., Development of ready-to-serve drink from gotukola (Centella asiatica), DOA Sri Lanka",sourced,Physicochemical/microbial shelf-life trial confirmed 1-month refrigerated shelf life for the RTS drink
Papaya,"Red Lady/Rathna cultivar, alum + basil oil dip, styrofoam-sleeved",Produce,Fresh Fruits,Refrigerated,14,14,14.0,13.0,"Disease control strategies for extending storage life of papaya, cultivars Red Lady and Rathna",sourced,"Alum-washed, basil-oil-sprayed papaya at 25% maturity stored at 12-14C for 14 days with zero disease severity"
Okra,"fresh, untreated (control)",Produce,Fresh Vegetables,Pantry,7,7,7.0,28.0,Effect of 1-MCP on postharvest quality and shelf life of okra,sourced,"Untreated control reached 50% marketability threshold (end of shelf life) at day 7, ambient 28+-2C"
Okra,"1-MCP fumigated, 1 microL/L",Produce,Fresh Vegetables,Pantry,11,11,11.0,28.0,Effect of 1-MCP on postharvest quality and shelf life of okra,sourced,"1-MCP fumigation at 1 microL/L extended shelf life to 11 days at 50% marketability, ambient 28+-2C"
Ela Batu (Solanum surattense / turkey berry),"minimally processed, cut, 2% calcium chloride treated",Produce,Fresh Vegetables,Refrigerated,7,7,7.0,8.0,Effect of pre-treatments on extending the shelf-life of minimally processed Ela Batu,sourced,"Cut fruit treated with 2% CaCl2, packed in LDPE pouches, stored at 8C; best treatment kept product acceptable for 7 days"
Carrots,"minimally processed, sliced, 1% citric acid treated",Produce,Fresh Vegetables,Refrigerated,7,7,7.0,7.0,Effect of pre-treatment and packing film for minimally processed carrots stored at low temperature,estimate_needs_local_sourcing,1% citric acid pre-treatment kept coliform counts lowest through 7 days at 7+-2C in LDPE bags; trial only ran to 7 days so true endpoint may be longer
Bananas,modified atmosphere packaging (MAP),Produce,Fresh Fruits,Pantry,30,30,30.0,,Inhibition of ethylene biosynthesis in modified atmosphere stored bananas,sourced,"Fruit held under modified atmosphere remained green and firm at ambient temperature after 30 days, vs ~20 days for controls"
Bananas,"ambient storage, no treatment (control)",Produce,Fresh Fruits,Pantry,20,20,20.0,,Inhibition of ethylene biosynthesis in modified atmosphere stored bananas,sourced,Control fruit (no MA packaging) ripened by day 20 at ambient temperature
Cauliflower,"whole curd, ambient storage, no treatment (control)",Produce,Fresh Vegetables,Pantry,6,6,6.0,28.0,"Site specific nutrient application on yield, quality and post harvest life of cauliflower",sourced,Curds stored at ambient 28+-2C in open conditions began decaying after day 6 (control treatment)
Cassava (manioc/tapioca root),"fresh, raw, unprocessed tuber",Produce,Fresh Vegetables,Pantry,1,2,1.5,,Influence of processing method and variety on fried sticks and frozen fries of cassava,sourced,Raw tubers have a high physiological deterioration rate; shelf life of only 24-48 hours after harvest unless processed
Cassava (manioc/tapioca root),blanched and frozen,Food Purchased Frozen,Vegetables,Frozen,90,90,90.0,,Utilization of cassava through freezing,sourced,Blanched cassava pieces held quality for up to 3 months in frozen storage
"Mushrooms (oyster, button, or cremini)",P. ostreatus mushroom sausage (processed product),Deli & Prepared Foods,Prepared/Processed Foods,Refrigerated,120,120,120.0,,"Status of edible and medicinal mushroom research in Sri Lanka (review, citing Rajanayaka et al.)",estimate_needs_local_sourcing,"Review reports a P. ostreatus mushroom sausage with shelf life of more than 4 months; exact storage condition not specified in source, refrigerated assumed for a meat-analogue product"
